reporting_jurisdiction, sample_location, key_plot_id, town_name, county_names, population_served, date_start, date_end, rna_pct_change_15d, pos_PCR_prop_15d, percentile, sampling_prior, first_sample_date
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/24/2020,8/7/2020,29,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/25/2020,8/8/2020,29,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/26/2020,8/9/2020,206,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/27/2020,8/10/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/28/2020,8/11/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/29/2020,8/12/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/30/2020,8/13/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/31/2020,8/14/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/1/2020,8/15/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/2/2020,8/16/2020,624,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,8/3/2020,8/17/2020,0,100,NA,yes,7/5/2020
